Year,ANDAMAN AND NICOBAR ISLANDS,ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,CHANDIGARH,CHHATTISGARH,DELHI,GOA,GUJARAT,HARYANA,HIMACHAL PRADESH,JAMMU AND KASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYA PRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUDUCHERRY,PUNJAB,RAJASTHAN,SIKKIM,TAMIL NADU,TELANGANA,TRIPURA,UTTAR PRADESH,UTTARAKHAND,WEST BENGAL
2008-2009,55848,59874,65743,36564,18166,125006,49145,159909,147618,69091,85149,74284,50750,34051,84319,80921,32404,81241,37417,49383,46405,44348,45255,103369,71605,45542,75825,75375,75790,38303,27743,74652,45637
2009-2010,60913,63324,69570,39432,18762,124232,49685,169798,155637,77763,94153,77540,52486,36908,83440,87811,34895,87819,39118,51277,50444,46108,45023,119742,74797,47389,130197,82705,75277,41725,28940,86126,48720
2010-2011,64187,66928,70917,40860,21328,117957,53386,180408,180105,85109,98862,83227,54758,41699,91058,92977,36139,96465,37148,54972,58255,49972,47236,125374,78183,53625,141684,93374,87771,44351,30701,93796,51197
2011-2012,89100,69000,73540,41142,21750,158967,55177,185001,259444,87481,106085,87721,51775,41254,90263,97912,38497,99597,39762,60013,57654,53010,48499,119649,85577,57192,158667,93112,91121,47155,32002,100314,51543
2012-2013,92644,68865,73960,41609,22201,169336,56777,192220,220019,96683,111780,92672,52821,44176,95444,103551,41142,104008,38954,59703,60261,55482,51087,119196,88915,58441,160553,97257,92732,50501,32908,106359,53157
2013-2014,98735,72254,79004,43002,22776,180615,61409,200702,188358,102589,119791,98816,54794,43779,102947,107846,42548,109597,41441,58681,67594,58619,54762,129127,93238,61053,168897,102191,96039,54645,34044,112900,53811
2014-2015,106711,79174,91034,44809,23223,182867,61122,213669,241081,111370,125032,105241,51649,48781,105697,112444,44027,115058,44101,55880,85056,60372,55123,117102,95807,64496,180675,107117,101424,63992,34583,118979,54520
2015-2016,114660,88609,88768,50642,24064,195205,61433,233115,278601,120683,137833,112723,61388,44524,116813,120387,47351,122889,46389,56039,91845,60663,58838,121000,100141,68565,195066,115875,112267,61612,36973,127249,57255
2016-2017,129532,94115,91319,53575,25455,208231,67139,244255,305875,129738,150259,122208,62395,48826,131186,129251,52782,133686,47151,57752,99089,64259,67851,126531,105848,71324,207355,123206,121512,69860,40847,138784,60618
2017-2018,145562,103177,94008,57835,26719,218201,68374,252960,308296,143604,156200,129303,65621,52277,140745,137181,54824,137808,51211,58493,117272,66813,72955,134934,110857,73529,232483,133029,131503,75020,41771,148011,64007
2018-2019,154233,108853,99579,59943,29092,227064,72537,257597,308753,154887,166747,136288,69183,56133,148645,147347,59000,142063,48106,60132,119022,70218,77623,153988,115592,73929,240743,141844,146777,82313,42523,150148,68212
2019-2020,159884,115344,105652,64755,30621,236251,75278,260541,303687,164310,177507,140048,72018,57246,155869,149674,61298,145165,51625,62435,132169,71399,81774,149738,118134,76882,251494,149329,152566,89234,42888,149244,71719
2020-2021,,114324,106127,63214,31017,213476,72236,243110,307108,160028,165617,133079,69799,53489,154123,134878,58334,133356,51876,56471,147946,68907,77108,145488,111833,74009,257999,150990,146278,91547,40310,135819,72202
2021-2022,,126587,,67661,,,,,317196,,179367,141830,73635,,168050,143816,63345,,,60398,,,84653,148464,117679,81231,275419,162393,162142,101129,42602,,
